class_id,class_name
0,ace_spades
1,2_spades
2,3_spades
3,4_spades
4,5_spades
5,6_spades
6,7_spades
7,8_spades
8,9_spades
9,10_spades
10,jack_spades
11,queen_spades
12,king_spades
13,ace_hearts
14,2_hearts
15,3_hearts
16,4_hearts
17,5_hearts
18,6_hearts
19,7_hearts
20,8_hearts
21,9_hearts
22,10_hearts
23,jack_hearts
24,queen_hearts
25,king_hearts
26,ace_diamonds
27,2_diamonds
28,3_diamonds
29,4_diamonds
30,5_diamonds
31,6_diamonds
32,7_diamonds
33,8_diamonds
34,9_diamonds
35,10_diamonds
36,jack_diamonds
37,queen_diamonds
38,king_diamonds
39,ace_clubs
40,2_clubs
41,3_clubs
42,4_clubs
43,5_clubs
44,6_clubs
45,7_clubs
46,8_clubs
47,9_clubs
48,10_clubs
49,jack_clubs
50,queen_clubs
51,king_clubs
52,b_abandoned
53,b_anaglyph
54,b_black
55,b_blue
56,b_challenge
57,b_checkered
58,b_erratic
59,b_ghost
60,b_green
61,b_magic
62,b_nebula
63,b_painted
64,b_plasma
65,b_red
66,b_yellow
67,b_zodiac
68,e_foil
69,e_holo
70,e_negative
71,e_polychrome
72,m_bonus
73,m_glass
74,m_gold
75,m_lucky
76,m_mult
77,m_steel
78,m_stone
79,m_wild
80,j_8_ball
81,j_abstract
82,j_acrobat
83,j_ancient
84,j_arrowhead
85,j_astronomer
86,j_banner
87,j_baron
88,j_baseball
89,j_blackboard
90,j_bloodstone
91,j_blue_joker
92,j_blueprint
93,j_bootstraps
94,j_brainstorm
95,j_bull
96,j_burglar
97,j_burnt
98,j_business
99,j_caino
100,j_campfire
101,j_card_sharp
102,j_cartomancer
103,j_castle
104,j_cavendish
105,j_ceremonial
106,j_certificate
107,j_chaos
108,j_chicot
109,j_clever
110,j_cloud_9
111,j_constellation
112,j_crafty
113,j_crazy
114,j_credit_card
115,j_delayed_grat
116,j_devious
117,j_diet_cola
118,j_dna
119,j_drivers_license
120,j_droll
121,j_drunkard
122,j_duo
123,j_dusk
124,j_egg
125,j_erosion
126,j_even_steven
127,j_faceless
128,j_family
129,j_fibonacci
130,j_flash
131,j_flower_pot
132,j_fortune_teller
133,j_four_fingers
134,j_gift
135,j_glass
136,j_gluttenous_joker
137,j_golden
138,j_greedy_joker
139,j_green_joker
140,j_gros_michel
141,j_hack
142,j_half
143,j_hallucination
144,j_hanging_chad
145,j_hiker
146,j_hit_the_road
147,j_hologram
148,j_ice_cream
149,j_idol
150,j_invisible
151,j_joker
152,j_jolly
153,j_juggler
154,j_loyalty_card
155,j_luchador
156,j_lucky_cat
157,j_lusty_joker
158,j_mad
159,j_madness
160,j_mail
161,j_marble
162,j_matador
163,j_merry_andy
164,j_midas_mask
165,j_mime
166,j_misprint
167,j_mr_bones
168,j_mystic_summit
169,j_obelisk
170,j_odd_todd
171,j_onyx_agate
172,j_oops
173,j_order
174,j_pareidolia
175,j_perkeo
176,j_photograph
177,j_popcorn
178,j_raised_fist
179,j_ramen
180,j_red_card
181,j_reserved_parking
182,j_ride_the_bus
183,j_riff_raff
184,j_ring_master
185,j_rocket
186,j_rough_gem
187,j_runner
188,j_satellite
189,j_scary_face
190,j_scholar
191,j_seance
192,j_seeing_double
193,j_selzer
194,j_shoot_the_moon
195,j_shortcut
196,j_sixth_sense
197,j_sly
198,j_smeared
199,j_smiley
200,j_sock_and_buskin
201,j_space
202,j_splash
203,j_square
204,j_steel_joker
205,j_stencil
206,j_stone
207,j_stuntman
208,j_supernova
209,j_superposition
210,j_swashbuckler
211,j_throwback
212,j_ticket
213,j_to_the_moon
214,j_todo_list
215,j_trading
216,j_tribe
217,j_triboulet
218,j_trio
219,j_troubadour
220,j_trousers
221,j_turtle_bean
222,j_vagabond
223,j_vampire
224,j_walkie_talkie
225,j_wee
226,j_wily
227,j_wrathful_joker
228,j_yorick
229,j_zany
230,debuffed
231,facedown
232,blue_seal
233,gold_seal
234,purple_seal
235,red_seal
236,c_ceres
237,c_earth
238,c_eris
239,c_jupiter
240,c_mars
241,c_mercury
242,c_neptune
243,c_planet_x
244,c_pluto
245,c_saturn
246,c_uranus
247,c_venus
248,c_ankh
249,c_aura
250,c_black_hole
251,c_cryptid
252,c_deja_vu
253,c_ectoplasm
254,c_familiar
255,c_grim
256,c_hex
257,c_immolate
258,c_incantation
259,c_medium
260,c_ouija
261,c_sigil
262,c_soul
263,c_talisman
264,c_trance
265,c_wraith
266,stake_black
267,stake_blue
268,stake_gold
269,stake_green
270,stake_orange
271,stake_purple
272,stake_red
273,stake_white
274,tag_boss
275,tag_buffoon
276,tag_charm
277,tag_coupon
278,tag_d_six
279,tag_double
280,tag_economy
281,tag_ethereal
282,tag_foil
283,tag_garbage
284,tag_handy
285,tag_holo
286,tag_investment
287,tag_juggle
288,tag_meteor
289,tag_negative
290,tag_orbital
291,tag_polychrome
292,tag_rare
293,tag_skip
294,tag_standard
295,tag_top_up
296,tag_uncommon
297,tag_voucher
298,c_chariot
299,c_death
300,c_devil
301,c_emperor
302,c_empress
303,c_fool
304,c_hanged_man
305,c_heirophant
306,c_hermit
307,c_high_priestess
308,c_judgement
309,c_justice
310,c_lovers
311,c_magician
312,c_moon
313,c_star
314,c_strength
315,c_sun
316,c_temperance
317,c_tower
318,c_wheel_of_fortune
319,c_world
320,v_antimatter
321,v_blank
322,v_clearance_sale
323,v_crystal_ball
324,v_directors_cut
325,v_glow_up
326,v_grabber
327,v_hieroglyph
328,v_hone
329,v_illusion
330,v_liquidation
331,v_magic_trick
332,v_money_tree
333,v_nacho_tong
334,v_observatory
335,v_omen_globe
336,v_overstock_norm
337,v_overstock_plus
338,v_paint_brush
339,v_palette
340,v_petroglyph
341,v_planet_merchant
342,v_planet_tycoon
343,v_recyclomancy
344,v_reroll_glut
345,v_reroll_surplus
346,v_retcon
347,v_seed_money
348,v_tarot_merchant
349,v_tarot_tycoon
350,v_telescope
351,v_wasteful
352,p_arcana_jumbo
353,p_arcana_mega
354,p_arcana_normal
355,p_buffoon_jumbo
356,p_buffoon_mega
357,p_buffoon_normal
358,p_celestial_jumbo
359,p_celestial_mega
360,p_celestial_normal
361,p_spectral_jumbo
362,p_spectral_mega
363,p_spectral_normal
364,p_standard_jumbo
365,p_standard_mega
366,p_standard_normal
367,rental
368,perishable
369,eternal
370,bl_arm
371,bl_big
372,bl_club
373,bl_eye
374,bl_final_acorn
375,bl_final_bell
376,bl_final_heart
377,bl_final_leaf
378,bl_final_vessel
379,bl_fish
380,bl_flint
381,bl_goad
382,bl_head
383,bl_hook
384,bl_house
385,bl_manacle
386,bl_mark
387,bl_mouth
388,bl_needle
389,bl_ox
390,bl_pillar
391,bl_plant
392,bl_psychic
393,bl_serpent
394,bl_small
395,bl_tooth
396,bl_wall
397,bl_water
398,bl_wheel
399,bl_window
